Date,logreturn,t,variance_garch_t,w,mu,DF,var_garch_t_05,var_garch_t_01,var_garch_t_025,variance_garch_n,var_garch_n_05,var_garch_n_01,var_garch_n_025,var_empiric_01,var_empiric_025,var_empiric_05
10/31/2017,-0.008083977,304,0.0019803655,,0.001885,3,-0.102094834,-0.197362599,-0.138336732,0.0018516684,-0.068894976,-0.098220366,-0.082454495,-0.116060956,-0.083782779,-0.076756601
11/01/2017,0.0452709272,305,0.0016731026,,0.001885,3,-0.093688573,-0.181254386,-0.127000483,0.0015045598,-0.061916912,-0.088351157,-0.074139619,-0.116060956,-0.083782779,-0.076756601
11/02/2017,0.0423937447,306,0.0017155929,,0.001885,3,-0.094894562,-0.183565321,-0.128626817,0.0015730407,-0.063352741,-0.090381878,-0.075850515,-0.116060956,-0.083782779,-0.076756601
11/03/2017,0.0586644317,307,0.0016799218,,0.001885,3,-0.093883143,-0.181627223,-0.12726287,0.0015596672,-0.063074834,-0.089988828,-0.075519368,-0.116060956,-0.083782779,-0.076756601
11/04/2017,0.0181839193,308,0.0019888417,,0.001885,3,-0.102317118,-0.197788543,-0.138636493,0.001907814,-0.06996004,-0.099726707,-0.083723598,-0.116060956,-0.083782779,-0.076756601
11/05/2017,0.0327762774,309,0.0016331174,,0.001885,3,-0.092539621,-0.179052745,-0.125451066,0.0015070796,-0.061970316,-0.088426688,-0.074203254,-0.116060956,-0.083782779,-0.076756601
11/06/2017,-0.008171867,310,0.0014810356,,0.001885,3,-0.088035636,-0.170422136,-0.119377224,0.0013634569,-0.0588515,-0.084015687,-0.070486956,-0.116060956,-0.083782779,-0.076756601
11/07/2017,-0.05402099,311,0.0013205415,,0.001885,3,-0.083023801,-0.160818378,-0.112618523,0.0011885665,-0.054822555,-0.078317473,-0.065686171,-0.116060956,-0.083782779,-0.076756601
11/08/2017,0.0146375898,312,0.0020766336,,0.001885,3,-0.104592137,-0.20214797,-0.141704465,0.0019665281,-0.071057197,-0.101278436,-0.08503094,-0.116060956,-0.083782779,-0.076756601
11/09/2017,0.0446380825,313,0.0017044678,,0.001885,3,-0.094580259,-0.182963048,-0.128202964,0.0015572159,-0.063023766,-0.089916603,-0.075458517,-0.116060956,-0.083782779,-0.076756601
11/10/2017,-0.035387621,314,0.0016947312,,0.001885,3,-0.094304339,-0.182434327,-0.127830874,0.0015836622,-0.063572619,-0.090692855,-0.076112515,-0.116060956,-0.083782779,-0.076756601
11/11/2017,-0.063237245,315,0.0018543208,,0.001885,3,-0.098731432,-0.190917593,-0.133801022,0.0017404439,-0.066736289,-0.095167294,-0.079882261,-0.116060956,-0.083782779,-0.076756601
11/12/2017,-0.054521992,316,0.0027470779,,0.001885,3,-0.12057994,-0.232784054,-0.163264787,0.0026443658,-0.082699213,-0.117743963,-0.098903259,-0.116060956,-0.083782779,-0.076756601
11/13/2017,-0.107154533,317,0.0031705939,,0.001885,3,-0.129681867,-0.250225315,-0.175539176,0.0030242886,-0.088571562,-0.126049338,-0.105900593,-0.116060956,-0.083782779,-0.076756601
11/14/2017,0.136177767,318,0.0061115312,,0.001885,3,-0.180778179,-0.348136887,-0.244445015,0.0058919759,-0.124372912,-0.176683871,-0.148560534,-0.116060956,-0.09373753,-0.077450234
11/15/2017,0.0129210693,319,0.0092771841,,0.001885,3,-0.223167567,-0.429364114,-0.301609148,0.0089399709,-0.153638496,-0.218074744,-0.183432628,-0.116060956,-0.09373753,-0.077450234
11/16/2017,0.0956493522,320,0.0068382497,,0.001885,3,-0.191333382,-0.368362937,-0.258679215,0.0063972352,-0.129675116,-0.184182878,-0.154878499,-0.116060956,-0.09373753,-0.077450234
11/17/2017,0.0679786838,321,0.0071564131,,0.001885,3,-0.195777212,-0.376878277,-0.264671935,0.006681066,-0.132561949,-0.188265781,-0.158318372,-0.116060956,-0.09373753,-0.076756601
11/18/2017,-0.003608065,322,0.0062717391,,0.001885,3,-0.183156858,-0.35269495,-0.247652778,0.0057461259,-0.122800429,-0.174459877,-0.146686804,-0.116060956,-0.09373753,-0.076756601
11/19/2017,0.0038779808,323,0.0047266406,,0.001885,3,-0.158754509,-0.305934777,-0.214745034,0.0041977387,-0.104685249,-0.148839233,-0.125101236,-0.116060956,-0.09373753,-0.076756601
11/20/2017,0.0240790348,324,0.0035547163,,0.001885,3,-0.137423833,-0.265060595,-0.18597959,0.0030721874,-0.089285074,-0.127058472,-0.106750796,-0.116060956,-0.09373753,-0.076756601
11/21/2017,0.0304935297,325,0.0027134919,,0.001885,3,-0.119829007,-0.231345106,-0.162252119,0.0023088714,-0.077151648,-0.109897935,-0.092292927,-0.116060956,-0.09373753,-0.076756601
11/22/2017,-0.02400263,326,0.0021294867,,0.001885,3,-0.105938612,-0.204728108,-0.143520252,0.0018262096,-0.068406712,-0.097529805,-0.081872692,-0.116060956,-0.09373753,-0.076756601
11/23/2017,0.0255081327,327,0.0020054739,,0.001885,3,-0.10275192,-0.198621716,-0.139222843,0.0017082999,-0.066099658,-0.094266895,-0.079123668,-0.116060956,-0.09373753,-0.076756601
11/24/2017,-0.01450779,328,0.0017092023,,0.001885,3,-0.094714139,-0.183219593,-0.128383509,0.0014448775,-0.060638677,-0.086543325,-0.072616508,-0.116060956,-0.09373753,-0.076237143
11/25/2017,0.0124426946,329,0.0015185105,,0.001885,3,-0.089166164,-0.172588472,-0.120901796,0.0012965009,-0.057341425,-0.081879958,-0.06868759,-0.108355486,-0.083782779,-0.072114505
11/26/2017,0.0538422942,330,0.0012544045,,0.001885,3,-0.080870244,-0.156691699,-0.109714349,0.0010509026,-0.051437504,-0.073529931,-0.061652634,-0.108355486,-0.083782779,-0.072114505
11/27/2017,0.0641339039,331,0.001540487,,0.001885,3,-0.08982266,-0.173846461,-0.121787113,0.0014258151,-0.06022487,-0.08595807,-0.072123426,-0.108355486,-0.083782779,-0.072114505
11/28/2017,0.0457022194,332,0.0020037993,,0.001885,3,-0.102708225,-0.198537987,-0.139163918,0.0019503161,-0.070755909,-0.100852319,-0.084671933,-0.108355486,-0.083782779,-0.072114505
11/29/2017,0.0238144654,333,0.0019126402,,0.001885,3,-0.100301402,-0.193925994,-0.135918201,0.0018328994,-0.068535341,-0.097711729,-0.082025964,-0.108355486,-0.083506926,-0.071865891
11/30/2017,-0.007380135,334,0.001586383,,0.001885,3,-0.09117876,-0.176445041,-0.123615879,0.0014876615,-0.06155761,-0.08784299,-0.073711485,-0.108355486,-0.083506926,-0.071865891
12/01/2017,0.0267702287,335,0.0013843103,,0.001885,3,-0.085049743,-0.16470052,-0.115350604,0.0012608798,-0.056522144,-0.080721234,-0.067711356,-0.108355486,-0.07876586,-0.069844664
12/02/2017,0.0700709799,336,0.0012146052,,0.001885,3,-0.079546851,-0.154155791,-0.10792969,0.0011057023,-0.052810092,-0.075471208,-0.063288173,-0.108355486,-0.07876586,-0.069844664
12/03/2017,0.0170766108,337,0.0018360499,,0.001885,3,-0.098234512,-0.189965387,-0.133130901,0.0018303481,-0.068486313,-0.097642387,-0.081967543,-0.108355486,-0.07876586,-0.069844664
12/04/2017,0.0233231228,338,0.0015199537,,0.001885,3,-0.089209419,-0.172671359,-0.120960128,0.0014524708,-0.060802753,-0.086775381,-0.072812017,-0.108355486,-0.07876586,-0.069844664
12/05/2017,0.0220110144,339,0.0013074841,,0.001885,3,-0.082602975,-0.160011984,-0.112051019,0.0012220687,-0.055616208,-0.079439952,-0.066631868,-0.108355486,-0.07876586,-0.069844664
12/06/2017,0.0250279473,340,0.0011415522,,0.001885,3,-0.077060005,-0.149390457,-0.104576058,0.001050407,-0.051424931,-0.073512148,-0.061637652,-0.108355486,-0.07876586,-0.069844664
12/07/2017,0.1309962121,341,0.0010309689,,0.001885,3,-0.0731389,-0.141876773,-0.099288259,0.0009478649,-0.048756042,-0.069737488,-0.058457475,-0.108355486,-0.07876586,-0.069844664
12/08/2017,0.1977592257,342,0.0041863992,,0.001885,3,-0.149295731,-0.287809716,-0.201989417,0.0041624244,-0.104236032,-0.148203897,-0.124565961,-0.108355486,-0.07876586,-0.069844664
12/09/2017,-0.030426463,343,0.0129008318,,0.001885,3,-0.263505068,-0.506659482,-0.356006213,0.013084701,-0.186267389,-0.264222411,-0.222312352,-0.108355486,-0.07876586,-0.069844664
